asId,bereich,N_rek
1,$BEZ Altona,2
1,$BEZ Bergedorf,1
1,$BEZ Eimsbüttel,1.5
1,$BEZ Hamburg-Mitte,2
1,$BEZ Hamburg-Nord,2
1,$BEZ Harburg,1.5
1,$BEZ Wandsbek,2
2,$KRS Dithmarschen,0.5
2,"$KRS Flensburg, Stadt",0.3333333333333333
2,$KRS Herzogtum Lauenburg,0.5
2,"$KRS Kiel, Landeshauptstadt",0.5
2,"$KRS Lübeck, Hansestadt",0.5
2,"$KRS Neumünster, Stadt",0.5
2,$KRS Nordfriesland,0.3333333333333333
2,$KRS Ostholstein,0.5
2,$KRS Pinneberg,0.5
2,$KRS Plön,0.5
2,$KRS Rendsburg-Eckernförde,0.5
2,$KRS Schleswig-Flensburg,0.3333333333333333
2,$KRS Segeberg,0.5
2,$KRS Steinburg,0.5
2,$KRS Stormarn,0.5
3,"$KRS Bremen, Stadt",2
3,"$KRS Bremerhaven, Stadt",2
4,$KRS Ammerland,0.5
4,$KRS Aurich,0.2
4,$KRS Cuxhaven,0.5
4,"$KRS Delmenhorst, Stadt",0.5
4,"$KRS Emden, Stadt",0.5
4,$KRS Friesland,0.2
4,$KRS Harburg,0.5
4,$KRS Leer,0.2
4,$KRS Lüneburg,0.5
4,$KRS Oldenburg,0.5
4,"$KRS Oldenburg (Oldb), Stadt",1
4,$KRS Osterholz,0.3333333333333333
4,$KRS Rotenburg (Wümme),0.3333333333333333
4,$KRS Stade,1
4,$KRS Verden,0.5
4,$KRS Wesermarsch,0.3333333333333333
4,"$KRS Wilhelmshaven, Stadt",0.2
4,$KRS Wittmund,0.2
5,"$KRS Braunschweig, Stadt",0.5
5,$KRS Celle,0.3333333333333333
5,$KRS Gifhorn,0.3333333333333333
5,$KRS Goslar,1
5,$KRS Göttingen,0.5
5,$KRS Helmstedt,0.5
5,$KRS Hildesheim,0.5
5,$KRS Holzminden,0.5
5,$KRS Lüchow-Dannenberg,0.5
5,$KRS Northeim,0.3333333333333333
5,$KRS Peine,0.5
5,$KRS Region Hannover,2
5,"$KRS Salzgitter, Stadt",0.5
5,$KRS Uelzen,0.3333333333333333
5,$KRS Wolfenbüttel,0.3333333333333333
5,"$KRS Wolfsburg, Stadt",0.3333333333333333
6,$KRS Landkreis Rostock,0.5
6,$KRS Ludwigslust-Parchim,0.5
6,"$KRS Mecklenburgische Seenplatte ($NOT Friedland, Stadt)",0.1111111111111111
6,$KRS Nordwestmecklenburg,0.1111111111111111
6,$KRS Rostock,0.5
6,$KRS Schwerin,0.5
6,$KRS Vorpommern-Rügen,0.125
6,"Görmin, ...",0.1111111111111111
6,"Jarmen, Stadt",0.1111111111111111
6,Karlsburg,0.125
6,Kruckow,0.1111111111111111
6,"Loitz, Stadt",0.1111111111111111
6,Neetzow-Liepen,0.125
6,Sassen-Trantow,0.1111111111111111
6,Tutow,0.1111111111111111
6,Völschow,0.1111111111111111
6,"Zerrenthin, ...",0.125
6,Ziethen,0.125
6,"Zinnowitz, Ostseebad",0.125
6,Zirchow,0.125
6,Züssow,0.125
7,$KRS Altmarkkreis Salzwedel,0.25
7,$KRS Anhalt-Bitterfeld,0.3333333333333333
7,$KRS Burgenlandkreis,0.3333333333333333
7,$KRS Börde,0.25
7,"$KRS Dessau-Roßlau, Stadt",0.3333333333333333
7,"$KRS Halle (Saale), Stadt",0.25
7,$KRS Harz,0.3333333333333333
7,$KRS Jerichower Land,0.25
7,"$KRS Magdeburg, Landeshauptstadt",0.25
7,$KRS Mansfeld-Südharz,0.25
7,$KRS Saalekreis,0.25
7,$KRS Salzlandkreis,0.3333333333333333
7,$KRS Stendal,0.25
7,$KRS Wittenberg,0.3333333333333333
8,"$KRS Baden-Baden, Stadtkreis",0.5
8,$KRS Breisgau-Hochschwarzwald,0.3333333333333333
8,$KRS Calw,1
8,$KRS Emmendingen,0.3333333333333333
8,$KRS Enzkreis,0.3333333333333333
8,"$KRS Freiburg im Breisgau, Stadtkreis",0.3333333333333333
8,$KRS Freudenstadt,1
8,"$KRS Heidelberg, Stadtkreis",1
8,$KRS Karlsruhe,0.3333333333333333
8,"$KRS Karlsruhe, Stadtkreis",0.5
8,$KRS Konstanz,0.5
8,$KRS Lörrach,0.3333333333333333
8,"$KRS Mannheim, Stadtkreis",0.5
8,$KRS Neckar-Odenwald-Kreis,1
8,$KRS Ortenaukreis,0.5
8,"$KRS Pforzheim, Stadtkreis",0.3333333333333333
8,$KRS Rastatt,0.5
8,$KRS Rhein-Neckar-Kreis,0.5
8,$KRS Rottweil,1
